_id,userId,timestamp,sessionId,location,cause,__v
69748b5b48d53c4152cf18cb,6974892348d53c4152cf1421,2026-01-24T14:35:31.981Z,unreal_death_1769245531981,Unknown,Unknown,0
69748e1848d53c4152cf213e,6974892348d53c4152cf1421,2026-01-24T14:47:12.375Z,unreal_death_1769246232375,Unknown,Unknown,0
6974919048d53c4152cf2b85,6974892348d53c4152cf1421,2026-01-24T15:02:00.581Z,unreal_death_1769247120581,Unknown,Unknown,0
697491ca48d53c4152cf2bfa,6974892348d53c4152cf1421,2026-01-24T15:02:58.769Z,unreal_death_1769247178769,Unknown,Unknown,0
6974924d48d53c4152cf2d2b,6974892348d53c4152cf1421,2026-01-24T15:05:09.065Z,unreal_death_1769247309065,Unknown,Unknown,0
6974947748d53c4152cf3391,6974892348d53c4152cf1421,2026-01-24T15:14:23.799Z,unreal_death_1769247863799,Unknown,Unknown,0
6974966e48d53c4152cf399e,6974892348d53c4152cf1421,2026-01-24T15:22:46.079Z,unreal_death_1769248366079,Unknown,Unknown,0
697496c548d53c4152cf3a13,6974892348d53c4152cf1421,2026-01-24T15:24:13.752Z,unreal_death_1769248453752,Unknown,Unknown,0
6974ad11315a39e91bc1e5ac,6974abcf315a39e91bc1e471,2026-01-24T16:59:21.767Z,unreal_death_1769254161767,Unknown,Unknown,0
6974adbd315a39e91bc1e66d,6974abcf315a39e91bc1e471,2026-01-24T17:02:13.066Z,unreal_death_1769254333066,Unknown,Unknown,0
6974f9085d8e98b89f0a7243,6974f7985d8e98b89f0a6873,2026-01-24T22:23:28.689Z,unreal_death_1769273608689,Unknown,Unknown,0
6974f9635d8e98b89f0a73dc,6974f5555d8e98b89f0a5fa5,2026-01-24T22:24:59.012Z,unreal_death_1769273699012,Unknown,Unknown,0
6974f9c85d8e98b89f0a765d,6974f7985d8e98b89f0a6873,2026-01-24T22:26:40.183Z,unreal_death_1769273800183,Unknown,Unknown,0
6974faf65d8e98b89f0a7d97,6974f7985d8e98b89f0a6873,2026-01-24T22:31:42.763Z,unreal_death_1769274102763,Unknown,Unknown,0
6974fb805d8e98b89f0a8165,6974f5555d8e98b89f0a5fa5,2026-01-24T22:34:00.230Z,unreal_death_1769274240230,Unknown,Unknown,0
6974fde95d8e98b89f0a8bf2,6974f5555d8e98b89f0a5fa5,2026-01-24T22:44:17.046Z,unreal_death_1769274857046,Unknown,Unknown,0
697500635d8e98b89f0a9a09,6974f5555d8e98b89f0a5fa5,2026-01-24T22:54:51.746Z,unreal_death_1769275491746,Unknown,Unknown,0
697500705d8e98b89f0a9a85,6974f3cc5d8e98b89f0a5d07,2026-01-24T22:55:04.676Z,unreal_death_1769275504676,Unknown,Unknown,0
697502bf5d8e98b89f0aa0d3,6974f5555d8e98b89f0a5fa5,2026-01-24T23:04:55.544Z,unreal_death_1769276095544,Unknown,Unknown,0
697505035d8e98b89f0aa563,697502455d8e98b89f0a9f38,2026-01-24T23:14:35.212Z,unreal_death_1769276675212,Unknown,Unknown,0
